Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
IDA & IBRD total,IBT,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,82.9557138052587,83.581887310905,82.8640197206463,82.9743218168269,83.3209972085259,83.8044869428239,84.179510492738,84.4939040248181,85.6519359349556,85.5331866915796,82.9141584613295
IDA & IBRD total,IBT,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,54.8743175277049,53.5375021107104,50.4019591519664,48.7798966691799,47.43517108688,46.3869965708754,45.0167897925032,44.1583028931606,43.3739482895554,42.7794421008687,42.4922083281563
IDA & IBRD total,IBT,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,..,..,..,..,..,..,..,..,..,..,..
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,5876238780,5956303101,6038511525,6119970296,6201072972,6280370137,6359496256,6439279067,6517257782,6593373309,6665588686
IDA blend,IDB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.0515129063523,59.364406133511,59.6305637403653,59.8685731055257,60.0998681978251,60.2944946354402,60.5761664527178,60.818392907263,61.0740542759518,61.3259973798573,60.8180066140619
IDA blend,IDB,GDP per capita (current US$),NY.GDP.PCAP.CD,1546.66486887393,1719.51377446132,1858.79619423645,1985.51999918718,2113.88702279641,1967.8941145813,1810.82104602308,1808.86674135882,1873.7385939606,2210.55539131628,2014.81189013082
IDA blend,IDB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.52603265857313,3.42096262205416,3.45148939125578,3.53080227771264,3.46327301046312,3.52256349924393,3.56400683474163,3.57103957971211,3.25460034828426,3.22115302804144,3.58050542420729
IDA blend,IDB,"School enrollment, primary (% gross)",SE.PRM.ENRR,83.0206069946289,84.2150115966797,85.1963500976562,85.5370330810547,85.1934127807617,83.1113510131836,84.2528381347656,84.072021484375,85.2454528808594,86.3141784667969,86.9594116210938
IDA blend,IDB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,63.2698660396086,62.2508382460198,60.91121944356,62.578113362027,63.1101618059333,64.6366785999859,66.9790170488661,68.3567992042828,70.5373467590018,71.8663328782098,72.9188464575397
IDA blend,IDB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,97.7581338926115,95.4071007579972,93.0603666172748,90.870695521886,89.0200242810528,87.3420837922888,85.7706738523369,84.3590132998074,82.9417022338448,81.79549064533,80.4458118967861
IDA blend,IDB,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,2.13408403249347,2.05889212323069,2.02295841230545,1.95366442025802,1.92098646815184,1.8445691959148,1.81049268172958,1.73613496749179,1.73343691441591,1.654427707579,1.57930030278535
IDA blend,IDB,"Population, total",SP.POP.TOTL,508422508,520984443,532980174,544442648,555868551,567234056,578463670,590024074,601951913,614017319,626440308
IDA only,IDX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.0465381671517,62.4359401192322,62.962468993378,63.3883167400328,63.6108317883765,63.8848479810589,64.3130750207169,64.6129528273956,65.1762396022628,65.586275114442,65.4148502167518
IDA only,IDX,GDP per capita (current US$),NY.GDP.PCAP.CD,877.931098861538,961.703390548921,945.920267718204,1006.28967463937,1049.90073249233,1024.03892548547,1054.71572764683,1111.6681922431,1159.99786764696,1187.14057928369,1172.52623503626
IDA only,IDX,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.32852096492693,4.2011347169054,4.22494624694016,4.41573847982811,4.41091062883311,4.50014856592225,4.32177543204578,4.13130606429188,4.00257040181045,3.89479195477006,4.12142035050562
IDA only,IDX,"School enrollment, primary (% gross)",SE.PRM.ENRR,97.8945236206055,99.1322402954102,99.8444976806641,99.0662384033203,99.2957534790039,98.4274673461914,98.9838027954102,99.6305313110352,100.657562255859,101.585350036621,102.127586364746
